Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
6810,0.939178,19.078351,20.099667,1
6820,0.939883,19.054701,20.795332,5
6830,0.939352,19.037583,18.621681,5
6840,0.939420,19.021580,21.874696,13
6850,0.939500,19.008081,17.734684,3
6860,0.939744,18.989898,21.057508,10
6870,0.939615,18.973802,16.711535,3
6880,0.939275,18.947306,21.021446,1
6890,0.938658,18.921735,19.516415,0
6900,0.938713,18.897544,19.704614,4
6910,0.939127,18.874519,20.330946,5
6920,0.938986,18.855406,19.603988,8
6930,0.939145,18.843176,20.223224,9
6940,0.939039,18.829116,19.807362,6
6950,0.939205,18.811917,20.234846,6
6960,0.939657,18.792291,19.582178,4
