Tempo(s),Fila,E[N],E[W]
6840,2,2.095817,26.946222
6850,1,2.094444,26.967940
6860,1,2.092695,26.934123
6870,1,2.091104,26.952884
6880,1,2.088802,26.911909
6890,1,2.087225,26.880335
6900,1,2.085399,26.795631
6910,3,2.086142,26.744412
6920,4,2.088204,26.759951
6930,4,2.090963,26.834025
6940,3,2.093334,26.853486
6950,5,2.096645,26.835511
6960,5,2.100816,26.927592
6970,7,2.106953,26.945803
6980,6,2.112746,27.058650
6990,7,2.119693,27.136734
7000,8,2.127458,27.126064
7010,7,2.135101,27.262402
7020,8,2.142606,27.347443
7030,8,2.150938,27.492898
7040,10,2.161066,27.561424
7050,10,2.172185,27.742583
7060,8,2.183055,27.870463
7070,10,2.192342,27.927668
7080,9,2.203366,28.107803
7090,9,2.212933,28.218880
7100,9,2.222889,28.334845
7110,11,2.232953,28.401245
7120,13,2.246133,28.507070
7130,15,2.262384,28.651508
7140,13,2.277646,28.834029
7150,12,2.291469,29.049646
7160,12,2.305028,29.262412
7170,13,2.318688,29.424772
7180,14,2.333606,29.602982
7190,15,2.349371,29.635042
7200,15,2.366941,29.898200
7210,15,2.384462,30.161358
7220,14,2.401467,30.312219
7230,13,2.416756,30.547457
7240,13,2.431436,30.721806
7250,11,2.445083,30.936911
7260,12,2.457037,31.022760
7270,12,2.469030,31.162930
7280,11,2.481275,31.360562
7290,11,2.492961,31.551534
7300,9,2.503261,31.725354
7310,11,2.513040,31.782562
7320,11,2.524634,31.972874
7330,12,2.537294,32.121533
7340,12,2.550186,32.328787
7350,12,2.563043,32.536041
7360,15,2.577882,32.600026
7370,15,2.595357,32.753050
7380,16,2.613512,32.914200
7390,16,2.631209,33.125445
7400,16,2.649275,33.398018
7410,15,2.666680,33.548557
7420,17,2.684616,33.705325
7430,19,2.705321,33.896345
7440,20,2.726223,34.032049
7450,21,2.748990,34.247453
7460,19,2.771719,34.576962
7470,20,2.793550,34.837765
7480,23,2.818272,35.017737
7490,23,2.845136,35.340077
7500,24,2.872973,35.674328
7510,23,2.900841,36.068401
7520,22,2.926358,36.434129
7530,21,2.951576,36.796962
7540,19,2.974078,37.126730
7550,18,2.994589,37.432368
7560,20,3.015412,37.618005
7570,18,3.036715,37.871394
7580,16,3.054895,38.148444
7590,15,3.071614,38.407830
7600,14,3.086347,38.579334
7610,14,3.100688,38.809597
7620,15,3.116175,38.990564
7630,16,3.132046,39.112123
7640,16,3.148724,39.307598
7650,17,3.165535,39.440294
7660,16,3.182443,39.702790
7670,19,3.200069,39.780437
7680,17,3.219291,40.071570
7690,17,3.237212,40.347097
7700,19,3.255799,40.500251
7710,18,3.275843,40.736695
7720,19,3.295435,40.967402
7730,17,3.313297,41.242810
7740,18,3.332268,41.465847
7750,18,3.351194,41.755237
7760,18,3.371044,41.989253
7770,17,3.389436,42.137468
7780,16,3.406119,42.399369
7790,17,3.423240,42.599105
7800,15,3.439817,42.860334
7810,14,3.453497,43.085961
7820,14,3.466598,43.235723
7830,15,3.480437,43.394626
7840,15,3.495131,43.633479
7850,15,3.509719,43.801735
7860,16,3.524651,43.974222
7870,15,3.539374,44.214086
7880,14,3.553831,44.451091
7890,15,3.567633,44.538961
7900,15,3.582114,44.705683
7910,14,3.595773,44.932957
7920,16,3.610790,44.964557
7930,15,3.625285,45.202063
7940,16,3.640397,45.305251
7950,14,3.654848,45.542379
7960,15,3.668920,45.703599
7970,16,3.683200,45.867352
7980,16,3.698635,46.117352
7990,16,3.714031,46.367352
8000,15,3.728565,46.607068
8010,15,3.742637,46.841443
8020,14,3.755877,47.065831
8030,15,3.770337,47.085230
8040,20,3.788266,47.002555
8050,19,3.807354,47.298146
8060,17,3.824251,47.567073
8070,18,3.841456,47.693158
8080,18,3.858979,47.970081
8090,14,3.872065,48.192312
8100,13,3.884233,48.403515
8110,12,3.894633,48.593042
8120,12,3.904615,48.777658
8130,9,3.911680,48.850931
8140,8,3.917352,48.906815
8150,8,3.922361,49.029514
8160,8,3.927358,49.152214
8170,7,3.931604,49.265649
8180,6,3.935153,49.294874
8190,7,3.938340,49.319583
8200,7,3.942074,49.426617
8210,7,3.945799,49.533651
8220,6,3.949136,49.635929
8230,7,3.952169,49.582849
8240,7,3.955868,49.689557
8250,7,3.959557,49.796264
8260,6,3.963140,49.901730
8270,5,3.964534,49.979723
8280,5,3.965785,50.055943
8290,3,3.965770,50.116209
8300,3,3.964916,50.089500
8310,5,3.965781,50.008555
8320,6,3.967309,49.936471
8330,6,3.970061,49.955598
8340,7,3.972763,49.974117
8350,7,3.976438,50.004903
8360,8,3.980413,50.039478
8370,7,3.984276,50.072664
8380,8,3.988249,50.107230
8390,9,3.993918,50.163127
8400,6,3.998735,50.283498
8410,6,4.001115,50.373319
8420,8,4.005342,50.335788
8430,7,4.009291,50.445262
8440,5,4.011829,50.537076
8450,5,4.012999,50.611703
8460,5,4.014166,50.686329
8470,5,4.015329,50.760956
8480,5,4.016491,50.835583
8490,4,4.017297,50.905745
8500,3,4.016823,50.959696
8510,2,4.014782,50.993727
8520,4,4.014452,50.897522
8530,2,4.013053,50.939501
8540,3,4.010806,50.894926
8550,4,4.010775,50.878522
8560,4,4.010762,50.937869
8570,4,4.010486,50.918319
8580,5,4.011537,50.840459
8590,7,4.013253,50.696823
8600,9,4.018869,50.603619
8610,8,4.023629,50.722473
8620,10,4.029092,50.701863
8630,10,4.036419,50.778856
8640,8,4.041893,50.906635
8650,8,4.045898,50.941802
8660,7,4.048826,50.963414
8670,9,4.053494,50.933032
8680,9,4.059193,51.063466
8690,8,4.064854,51.193594
8700,10,4.071091,51.182797
8710,8,4.076920,51.314996
8720,6,4.079697,51.408894
8730,7,4.081900,51.421338
8740,8,4.085533,51.451818
8750,8,4.089339,51.484480
8760,9,4.093709,51.450349
8770,9,4.098788,51.499097
8780,7,4.103673,51.619262
8790,6,4.106656,51.715626
8800,7,4.109651,51.738096
8810,5,4.113075,51.765983
8820,6,4.115077,51.776010
8830,7,4.118233,51.800569
8840,9,4.123482,51.777809
8850,10,4.129999,51.844674
8860,10,4.136625,51.986518
8870,11,4.143650,52.059741
8880,12,4.152325,52.080005
8890,13,4.161115,52.101850
8900,12,4.170133,52.273496
8910,13,4.179355,52.227278
8920,13,4.189085,52.334232
8930,13,4.198952,52.516305
