policy,rho,metric,trend_slope,trend_r_squared,trend_p_value,mean_value,std_value,autocorr_lag1
WEIGHTED_ROUND_ROBIN,0.9,system_en,5.064370198432298,0.9993806370737991,0.0,24458.148104884258,12635.959634802677,0.9999999814895908
WEIGHTED_ROUND_ROBIN,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
WEIGHTED_ROUND_ROBIN,0.9,little_error,5.064370198432298,0.9993806370737991,0.0,24458.148104884258,12635.959634802677,0.9999999814895908
WEIGHTED_ROUND_ROBIN,0.95,system_en,5.0691684800404415,0.9994698869511088,0.0,24443.44097877315,12647.366959556142,0.9999999814434344
WEIGHTED_ROUND_ROBIN,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
WEIGHTED_ROUND_ROBIN,0.95,little_error,5.0691684800404415,0.9994698869511088,0.0,24443.44097877315,12647.366959556142,0.9999999814434344
WEIGHTED_ROUND_ROBIN,0.999,system_en,5.042309331890871,0.9995160808355221,0.0,24306.791543587962,12580.063777368185,0.9999999811886541
WEIGHTED_ROUND_ROBIN,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
WEIGHTED_ROUND_ROBIN,0.999,little_error,5.042309331890871,0.9995160808355221,0.0,24306.791543587962,12580.063777368185,0.9999999811886541
WHITTLE_INDEX,0.8,system_en,5.045355277365845,0.9993810746560552,0.0,24196.87074021991,12588.513314164584,0.9999999701617048
WHITTLE_INDEX,0.8,system_ew,0.0,0.0,1.0,0.0,0.0,
WHITTLE_INDEX,0.8,little_error,5.045355277365845,0.9993810746560552,0.0,24196.87074021991,12588.513314164584,0.9999999701617048
WHITTLE_INDEX,0.9,system_en,5.081647394090405,0.9994921960526184,0.0,24420.419016168984,12678.359841463387,0.9999999678915287
WHITTLE_INDEX,0.9,system_ew,0.0,0.0,1.0,0.0,0.0,
WHITTLE_INDEX,0.9,little_error,5.081647394090405,0.9994921960526184,0.0,24420.419016168984,12678.359841463387,0.9999999678915287
WHITTLE_INDEX,0.95,system_en,5.084125834952721,0.9995197711836973,0.0,24430.624635624998,12684.368406306005,0.9999999672509086
WHITTLE_INDEX,0.95,system_ew,0.0,0.0,1.0,0.0,0.0,
WHITTLE_INDEX,0.95,little_error,5.084125834952721,0.9995197711836973,0.0,24430.624635624998,12684.368406306005,0.9999999672509086
WHITTLE_INDEX,0.999,system_en,5.084817387920292,0.9994113480901647,0.0,24575.108622280095,12686.781878649766,0.9999999666732442
WHITTLE_INDEX,0.999,system_ew,0.0,0.0,1.0,0.0,0.0,
WHITTLE_INDEX,0.999,little_error,5.084817387920292,0.9994113480901647,0.0,24575.108622280095,12686.781878649766,0.9999999666732442
