Tempo,Ocupacao,NumeroMedioRequisicoes,TempoMedioEspera,TamanhoFila
4710,0.822861,4.034996,3.791507,0
4720,0.822283,4.027935,4.971354,1
4730,0.822210,4.022834,4.510497,0
4740,0.822218,4.016547,3.978698,2
4750,0.821769,4.010727,3.705670,1
4760,0.820832,4.003169,9.248001,1
4770,0.820335,3.995658,5.325814,1
4780,0.819294,3.988724,4.948970,1
4790,0.819554,3.985068,5.603135,4
4800,0.819888,3.983374,3.533706,1
4810,0.819304,3.976610,4.354736,1
4820,0.818531,3.969712,5.602715,1
4830,0.818504,3.964483,6.799210,2
4840,0.818533,3.960292,4.728167,0
4850,0.817839,3.953595,6.483946,1
4860,0.817865,3.949658,4.810710,3
4870,0.818234,3.961101,3.769015,13
4880,0.818596,3.978135,1.314112,6
4890,0.818925,3.977600,5.759471,2
4900,0.818822,3.972162,4.432054,0
4910,0.818203,3.965059,4.942193,3
4920,0.818503,3.965838,5.504926,4
4930,0.819231,3.971119,5.695994,8
4940,0.819342,3.978852,5.178292,5
4950,0.819663,3.981060,6.134802,7
4960,0.820060,3.992744,4.452622,9
4970,0.820545,4.005357,3.249126,9
4980,0.820658,4.009262,7.174544,8
4990,0.820377,4.005451,6.230365,1
5000,0.819748,3.999255,3.729796,0
5010,0.819949,3.994638,5.370102,2
5020,0.820391,3.991016,6.242460,3
5030,0.819600,3.985063,4.773895,0
5040,0.819678,3.979400,4.978000,1
5050,0.820027,3.975090,8.533790,4
5060,0.820055,3.972027,4.843120,4
5070,0.820057,3.967173,8.006530,2
5080,0.819948,3.961848,4.626629,0
5090,0.819289,3.955567,4.974683,2
5100,0.819389,3.950686,3.312090,2
5110,0.818644,3.944958,3.946625,0
5120,0.817739,3.938371,4.576577,0
5130,0.817246,3.934507,6.165606,4
5140,0.816498,3.928119,4.218075,2
5150,0.815787,3.922379,6.829697,1
5160,0.816028,3.919446,5.528072,5
5170,0.816394,3.918390,3.013856,2
5180,0.816250,3.916161,5.224653,1
5190,0.816298,3.912156,4.983327,2
5200,0.815660,3.906104,4.691543,0
5210,0.815124,3.901048,5.159519,6
5220,0.815587,3.900445,4.661981,4
5230,0.815955,3.906871,4.025156,6
5240,0.816237,3.913308,3.420210,6
5250,0.816472,3.912521,2.307015,0
5260,0.816308,3.907567,3.102593,0
5270,0.815998,3.902430,6.307253,5
5280,0.816534,3.906810,5.559829,9
5290,0.816772,3.912603,1.235836,1
5300,0.816519,3.908521,4.780404,0
5310,0.815520,3.901561,6.290063,1
5320,0.815827,3.897308,5.137341,3
5330,0.815139,3.891253,5.730855,2
5340,0.815600,3.888827,5.679727,2
